,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
32,program compiles,"nosuchmethoderror .""",throws,runtime,however,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,using method overloading,main methods,java program,yes,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,never inherited,never,final,declared,constructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,abstract method cannot,abstract method,main difference,final method,final,subclass,override,need,give,definition,,,,,,,,,,,,,,,,,,,,,,,,,
36,time whereas,static binding,dynamic binding,type,runtime,object,determined,compile,case,,,,,,,,,,,,,,,,,,,,,,,,,,
37,class must,abstract method,class,abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,member functions,marker interfaces,data member,marker interface,interface,serializable,follows,example,defined,declared,cloneable,,,,,,,,,,,,,,,,,,,,,,,,
39,removes naming collision,provides access protection,two forms,similar type,many built,following example,inbuilt package,defined package,package,util,user,swing,sub,sql,packages,net,lang,javax,java,io,interfaces,group,etc,create,consider,classes,categorized,awt,,,,,,,
40,python zip () function,transform multiple lists,"e ., list1",single list,method takes,empty iterator,pass iterable,iterable,used,tuples,tuple,returns,many,list3,list2,,,,,,,,,,,,,,,,,,,,
41,two parameters passing mechanism,references pass,pass,value,python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,vice versa,uppercase characters,string,lowercase,function,converts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,python providies strip ([ str ]) built,trailing spaces,whitespaces,string,remove,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,new string,iterable object,string,iterable,used,strings,returns,method,concatenation,concatenate,,,,,,,,,,,,,,,,,,,,,,,,,
45,data collection type,original data,store values,allows us,tuple,sequence,reflected,immutable,change,built,,,,,,,,,,,,,,,,,,,,,,,,,
46,null pointer,pointer,null,value,type,refer,known,becomes,assign,address,0,,,,,,,,,,,,,,,,,,,,,,,,
47,malloc () calloc () realloc () free (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,sprintf () stands,sprintf () function,"string print .""",total number,console screen,characters present,string,print,transfers,returns,output,data,buffer,,,,,,,,,,,,,,,,,,,,,,
49,c program without using,main () function,yes,use,run,executed,define,compile,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,getche () function reads,getch () function reads,single character,output screen,entered data,data,use,keyword,keyboard,displayed,buffer,,,,,,,,,,,,,,,,,,,,,,,,
51,another function without modifying,wraps another function,adds functionality,add functionality,function,decorator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,module ‘ collections ’.,function counter (),occurrences,number,elements,counts,container,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,extend adds another list,extend () work,append () adds,methods append (),list,lists,end,element,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,static,register,extern,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,returns new value,"c ++, ++",++’ returns,prefix ++,postfix ++,expression ++,prefix ++.,old value,expression ‘,++ cannot,value,c,cannot,used,right,precedence,left,l,increments,higher,associativity,4,3,2,1,,,,,,,,,,
56,variable cannot,const means,new value,value,yes,pointer,code,changed,assigned,,,,,,,,,,,,,,,,,,,,,,,,,,
57,particular header file first,"included within ” “,",particular header file,current working directory,header file,included within,include path,compiler searches,within,found,built,,,,,,,,,,,,,,,,,,,,,,,,
58,using malloc (),store local variables,objects allocated dynamically,stack area,heap area,calloc ()).,particular method,method,used,till,termination,stays,memory,arguments,,,,,,,,,,,,,,,,,,,,,
59,memory leak occurs,programmers create,avoided ans,memory,heap,forget,delete,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,supervised learning requires training using labelled data,require labeling data explicitly,supervised learning task,labelled groups,unsupervised learning,classify data,first need,data,’,use,train,order,model,label,example,divergence,classification,,,,,,,,,,,,,,,,,,
61,unsupervised clustering algorithm,supervised classification algorithm,nearest neighbor,crucial difference,whereas k,k,means,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,classification produces discreate values,would use classification,know whether,female rather,female names,continuous results,regression gives,classification,regression,wanted,name,meaning,male,example,different,correlated,,,,,,,,,,,,,,,,,,,
63,create deep representations,deep networks,network learns,every layer,deeper networks,abstract representation,terms,shallow,parameters,number,new,much,level,input,function,efficient,computation,capable,approximating,accuracy,able,,,,,,,,,,,,,,
64,condition probably never met,considered “ naive ”,naive bayes,virtually impossible,text mining,pure product,practical applications,life data,individual probabilities,features —,conditional probability,absolute independence,real life,real,see,makes,implies,especially,despite,components,calculated,assumption,,,,,,,,,,,,,
65,error means claiming something,type ii error means,type ii error,fact something,false positive,false negative,claim nothing,briefly stated,error,type,’,happening,happened,,,,,,,,,,,,,,,,,,,,,,
66,accurately model large sets,unsupervised learning algorithm,deep learning represents,deep learning,machine learning,neural networks,neural nets,learns representations,certain principles,use backpropagation,structured data,use,data,unlabelled,subset,sense,semi,neuroscience,concerned,,,,,,,,,,,,,,,,
67,model performance,model accuracy,subset,everything,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,would use,weighted average,true negatives,matter much,f1 score,classification tests,results tending,model ’,’,tending,model,worst,recall,precision,performance,measure,best,1,0,,,,,,,,,,,,,,,,
69,penalize certain model parameters,account fewer variables,use regularization techniques,model simpler,use cross,validation techniques,training data,thereby removing,reduce variance,folds cross,cause overfitting,parameters,validation,’,taking,noise,likely,lasso,keep,k,3,2,1,,,,,,,,,,,,
70,data would remain unaffected,1 standard deviation,spread across median,data unaffected,"median ),",data lies,normal distribution,missing values,let ’,data,’,therefore,since,mode,mean,leaves,know,assume,68,32,,,,,,,,,,,,,,,
71,word ‘ free ’,new email would,previous spam message,given observation,data set,closest guess,30 %.,prior probability,marginal likelihood,0 ).,dependent variable,spam,message,variable,probability,likelihood,dependent,0,without,used,proportion,presence,nothing,make,information,hence,example,estimate,classifying,classified,class,chances,binary,70,1
72,good weight initialization helps,better overall error,bad weight initialization,weight initialization,quicker convergence,important steps,generally initialized,zero without,zero,weights,small,setting,rule,prevent,one,network,learning,giving,close,biases,,,,,,,,,,,,,,,
73,previous time step like,previous input batch,layer 4 output,current batch,done considering,yes,sometimes,rnn,need,correlated,assume,also,,,,,,,,,,,,,,,,,,,,,,,
74,neural network would,neural network helping,learn linear function,linear combination,complex function,activation function,introduce non,input data,learn,without,used,linearity,able,,,,,,,,,,,,,,,,,,,,,,
75,making right judgments based,inductive reasoning operates mostly,inductive justification mainly aids,taking accurate decisions,previously assembled pieces,complicated project works,theoretical assumptions,highly beneficial,entire function,analytical learning,idea,evidence,data,,,,,,,,,,,,,,,,,,,,,,
76,time array data,quality feature called,maintaining large databases,spectral portrayal,particular package,highly efficient,generate real,extremely helpful,effectively utilize,software,signals,processing,managing,infused,high,categories,analyzing,,,,,,,,,,,,,,,,,,
77,autonomous pattern indicates independent,unspecified mathematical bases,specific categorizer,particular subject,multiple forms,free,formula,categories,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,fillna () method,could find missing,could use,isnull (),dropna (),useful methods,placeholder value,find columns,another value,"0 ),",invalid values,either drop,corrupted data,missing,values,drop,data,columns,want,two,rows,replace,pandas,help,fill,example,decide,dataset,,,,,,,
79,software,service,saas,platform,paas,infrastructure,iaas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"ec2 ), elastic block store","s3 ), elastic compute cloud","ebs ), cloud watch",simple storage device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,easily fit anywhere physically,root file system,many different amis,ebs storage network,amazon machine image,master boot record,hardware servers,first block,exactly point,disk image,data required,commodities bios,arbitrary location,ami stands,ami server,boot,disk,’,running,provides,means,linux,launch,instance,easy,created,copy,cloud,basically,,,,,,
82,apache hadoop mapreduce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,resource capacity dynamically,resource capacity,proportion amount,large amount,cloud computing,increasing workload,architecture provides,demand resources,resources,provides,increasing,demand,whereas,used,use,usage,traffic,speed,scalability,requirement,raised,measured,handle,elasticity,decommissioning,concept,commissioning,coming,characteristic,,,,,,
84,enterprise user features,desktop call control,desktop faxing,unified messaging,terminology used,telecom industry,caas offers,caas,service,communication,,,,,,,,,,,,,,,,,,,,,,,,,
85,storage controller nc,node controller clc,cluster controller sc,cloud controller walrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,shifting risk,eliminates waste,additional advantage,utility,consumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,cut back response time,avoid system overload,often used,lower latency,load balancing,increase utilization,apache mod_proxy_balancer,output,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,service,infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,cut back response time,avoid system overload,often used,lower latency,load balancing,increase utilization,apache mod_proxy_balancer,output,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,fully fledged program,provides ease,make communication,cloud services,creates applications,applications,’,write,user,systems,one,need,link,helps,,,,,,,,,,,,,,,,,,,,,
91,open source software infrastructure,cloud computing platform,cloud computing,hybrid cloud,data centres,add clusters,eucalyptus public,eucalyptus,’,used,use,produce,private,organizations,moreover,many,help,functionality,built,allow,,,,,,,,,,,,,,,
92,traditional data center,software issues cloud,data centers,cloud computing,expensive due,issues,scaled,mostly,maintenance,increase,heating,hardware,faced,expenditure,demand,,,,,,,,,,,,,,,,,,,,
93,application programming interface,make communication,made easy,complete programs,cloud services,api ’,write,used,systems,provided,one,necessity,link,instructions,eliminate,creation,applications,access,,,,,,,,,,,,,,,,,
94,handling dynamic workloads without,hardware requirement,demand created,cloud architecture,scaling,resource,provided,point,per,managing,failures,characteristics,capable,,,,,,,,,,,,,,,,,,,,,,
95,remote computing services also known,amazon web service,also known,cloud computing,aws stands,service,technology,infrastructure,iaas,collection,,,,,,,,,,,,,,,,,,,,,,,,,
96,cloud application without installing anything,provides users access directly,provides cloud application platform,processor speed etc,hardware like memory,cloud computing,different layers,"saas ),",provides,platform,saas,terms,system,software,service,paas,infrastructure,iaas,developers,c,b,,,,,,,,,,,,,,
97,providing complete virtualization,provides application platform,work like,single server,infrastructure layer,important layer,cloud computing,platform,service,responsible,providers,paas,makes,,,,,,,,,,,,,,,,,,,,,,
98,monitor phase c,launch phase b,shutdown phase,cleanup phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,programming languages including javascript,use global variables sometimes,use global variables,javascript introduces,unique name,good practice,usually,ties,register,part,namespacing,may,however,forced,concept,code,,,,,,,,,,,,,,,,,,,
100,reduce web page loading time,reduce image size,remove unnecessary widgets,reduce lookups,script referencing,placing css,minimise redirects,http compression,following ways,external files,top,caching,bottom,,,,,,,,,,,,,,,,,,,,,,
101,default border size,adjust using css,canvas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,undefined means,assignment value,value,yet,variable,null,hand,declared,assigned,,,,,,,,,,,,,,,,,,,,,,,,,,
103,“ android sdk ”,graphical user interface,android developers require,actual mobile device,android environment,mobile application,developers write,writing apps,emulator acts,wrong,used,tools,test,set,satisfied,requirement,emulates,developing,develop,debug,code,check,anything,,,,,,,,,,,,
104,also supports c,widely used language,c ++,performance speed,android sdk,android development,used,java,improves,,,,,,,,,,,,,,,,,,,,,,,,,,
105,also includes “ activities ”,different components like intents,android developers write code,"“ services ”,",android framework includes,create image pane,android framework,programming code,different set,user interacts,text field,mobile apps,content providers,broadcast receivers,api ’,write,set,using,tools,run,programs,package,methods,etc,contains,classes,buttons,background,,,,,,,
106,process without interrupting,different apps,android component,acts independently,user ’,user interface,services allow,running behind,ongoing work,user,work,services,running,users,time,though,system,service,scene,runs,provide,kill,continue,background,aware,,,,,,,,,,
107,intent displays notifications,intent class,one activity,user,respond,required,notification,navigate,device,another,android,,,,,,,,,,,,,,,,,,,,,,,,
108,implicit intent calls,explicit intents invoke,system components,activity class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,android platform,serverless database,database,used,sqlite,source,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,android platform whenever,user action,many functions,anr stands,long time,time,suddenly,responding,pop,performing,notification,displayed,application,,,,,,,,,,,,,,,,,,,,,,
111,sensors provide data,software based,monitor positioning,measures orientation,high accuracy,hardware based,enabled devices,sensors,movement,motion,help,device,conditions,built,android,,,,,,,,,,,,,,,,,,,,
112,software includes programming code,programming code,user guide,defined task,computer program,well,piece,performs,hand,documentation,,,,,,,,,,,,,,,,,,,,,,,,,
113,specific function,built according,software implements,software,verification,validation,term,set,refers,need,ensure,clients,activities,,,,,,,,,,,,,,,,,,,,,,
114,successful testing,important part,results,removal,process,error,debugging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,proposed software product,user interface,functional requirements,functional features,users,security,related,performance,non,look,feel,expected,,,,,,,,,,,,,,,,,,,,,,,
116,widely used estimation techniques,decomposition technique empirical technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,proposed software system,target system,software requirements,functional description,description,functionalities,features,assumed,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,web application development pattern used,connection timeout occurs,connection remains intact,emulate pushing data,sent back,send data,long polling,client sends,used,connection,data,client,server,request,ready,closed,,,,,,,,,,,,,,,,,,,
119,data cleaning also referred,data cleansing,removing errors,data,quality,order,inconsistencies,identifying,enhance,deals,,,,,,,,,,,,,,,,,,,,,,,,,
120,statistical method,logistic regression,independent variables,outcome,one,examining,defines,dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,various attributes like value range,discrete value,several attributes,individual attributes,unusual records,sequence discovery,relation holding,null values,instance analysis,gives information,data type,data profiling,data mining,cluster analysis,targets,occurrence,length,frequency,focuses,etc,detection,dependencies,,,,,,,,,,,,,
122,data screening data verification,data validation,data analyst,methods used,usually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,schema integration identify similar records,relevant attributes without redundancy,single record containing,source problems,schemas,restructuring,multi,merge,deal,accomplish,,,,,,,,,,,,,,,,,,,,,,,,,
124,process large data sets,blending results obtained,different server,subsets,subset,splitting,reduce,processing,map,framework,,,,,,,,,,,,,,,,,,,,,,,,,
125,flat iterative hard,clustering algorithm divides,clustering algorithm,soft disjunctive,natural groups,classification method,data set,clustering,data,properties,hierarchical,clusters,applied,,,,,,,,,,,,,,,,,,,,,,
126,although single imputation,single imputation,multiple imputation,widely used,uncertainty created,missing data,data missing,reflect,random,favorable,case,,,,,,,,,,,,,,,,,,,,,,,,
127,easily consumed large data changes,good data model includes,provide predictable performance,good model,changes,scalable,requirements,criteria,adapt,,,,,,,,,,,,,,,,,,,,,,,,,,
128,attribute whose values,missing attribute values,attribute values,two attributes,distance functions,missing,using,used,similarity,similar,method,imputed,impute,determined,,,,,,,,,,,,,,,,,,,,,
129,overlapping regular misspelling irregular value misrepresentation,illegal values duplicate entries trying,identify data,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,achieve schema integration,single record,restructure schemas,necessary attributes,together,similar,redundancy,records,question,put,order,need,know,identify,contains,answer,,,,,,,,,,,,,,,,,,,
131,popular partitioning method,mean algorithm,data points,centered around,k groups,k,variance,spherical,similar,said,objects,clusters,cluster,classified,,,,,,,,,,,,,,,,,,,,,
132,simple algorithm used,recommendation system,collaborative filtering,behavioral data,user,said,depends,creating,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,analyzing data gotten previously using methods including log,two domains – time domain,time series analysis,frequency domain,output process,linear regression,exponential smoothening,forecasted,etc,done,,,,,,,,,,,,,,,,,,,,,,,,,
134,facing new challenges almost every day,data model helps,new market,data model,time period,client informed,best way,always keep,accurate outputs,challenges,understanding,however,help,enter,deriving,advance,,,,,,,,,,,,,,,,,,,
135,messy data representation etc,poor formatted files,inconsistent data,duplicate entries,could,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,hierarchical clustering algorithm combines,divides existing groups,hierarchical structure,groups,showcase,order,merged,divided,creating,,,,,,,,,,,,,,,,,,,,,,,,,,
137,data structure used,hash table,hash function,desired value,associative array,array,values,uses,slots,map,keys,index,implement,fetched,computing,compute,,,,,,,,,,,,,,,,,,,
138,data modeling data validation implementation,problem identification exploration,data preparation,steps involved,analysis project,tracking,listed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,user ’,simple terms,organized way,easily access,upload,manage,facilitate,database,data,collection,,,,,,,,,,,,,,,,,,,,,,,,,
140,respective functional dependencies,fulfill certain properties,properties include,update anomalies,relational schemas,primary keys,redundancy,process,order,normalization,minimize,insert,delete,data,based,analyzing,,,,,,,,,,,,,,,,,,,
141,structured query language whose main purpose,sql stands,relational databases,updating,modifying,interact,inserting,form,database,data,,,,,,,,,,,,,,,,,,,,,,,,,
142,uniquely identify,tables together,primary key,particular field,link two,foreign key,database tables,mainly used,database table,used,table,records,one,,,,,,,,,,,,,,,,,,,,,,
143,unique key may consist,one unique key,one primary key,unique key,primary key,null value,main difference,table,never,,,,,,,,,,,,,,,,,,,,,,,,,,
144,query within another sql query,embedded within,nested query,main query,inner query,return data,data,used,subquery,retrieved,restrict,condition,clause,,,,,,,,,,,,,,,,,,,,,,
145,union removes duplicate rows,tables whereas union,duplicate rows,union,rows,tables,used,remove,picks,join,distinct,data,combining,2,,,,,,,,,,,,,,,,,,,,,
146,real world,independent existence,entity set,entity type,entity,type,thing,stored,place,object,entities,database,data,collection,attributes,,,,,,,,,,,,,,,,,,,,
147,view level,relationship among,physical level,next level,lowest level,logical level,highest level,3 levels,data abstraction,data,type,stored,states,shows,part,include,dbms,database,,,,,,,,,,,,,,,,,
148,2 major integrity rules,referential integrity,entity integrity,primary key,foreign key,null value,important rule,value,rule,states,relation,related,never,exist,either,dbms,,,,,,,,,,,,,,,,,,,
149,r model,exists among,relationship model,relationship,known,entity,entities,e,dbms,concept,based,,,,,,,,,,,,,,,,,,,,,,,,
150,relationship among,different attributes,useful,relation,describing,constraint,basically,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,first normal form,easiest form,normalization process,duplicate columns,atomic values,table,states,remove,present,objective,known,domain,attribute,1nf,,,,,,,,,,,,,,,,,,,,,
152,second normal form,following 2 conditions,prime attribute,primary key,functionally dependent,totality,table,satisfies,said,non,2nf,1nf,,,,,,,,,,,,,,,,,,,,,,,
153,third normal form,following 2 conditions,transitively dependent,prime attribute,every key,table,satisfies,said,non,3nf,2nfm,,,,,,,,,,,,,,,,,,,,,,,,
154,one particular character,sql .’%’,pattern matching,like operator,’,‘,used,possible,matches,match,help,characters,0,,,,,,,,,,,,,,,,,,,,,,
155,sql statements,common field,column among,used,tables,rows,one,join,data,basis,2,,,,,,,,,,,,,,,,,,,,,,,,
156,data gets created automatically,related tables like salary,get executed automatically,roles tables,new record,important codes,employee database,view,trigger,table,response,programs,one,occur,inserted,events,eg,department,,,,,,,,,,,,,,,,,
157,relational database management system,common fields among,contains data,data,tables,rdbms,form,basis,accessed,,,,,,,,,,,,,,,,,,,,,,,,,,
158,sql queries like select,sql queries like grant,sql queries like create,data manipulation language,data definition language,data control language,update come,revoke come,rename come,dml stands,ddl stands,dcl stands,three,insert,following,drop,details,alter,,,,,,,,,,,,,,,,,
159,applications may additionally contain,many applications inside,affected person ’,distance health care,provide lengthy,persistent situations,medical era,medical devices,maybe implantable,important signs,healthcare field,fitness tracking,different indicators,allow far,may,health,wellbeing,wearable,usage,treatment,training,together,telemedicine,telehealth,non,monitoring,iot,internet,injectable,ingestible,,,,,
160,make physical items responsive,allow two bodily gadgets,software program – allowing,conversation infrastructure –,communication infrastructure,store records,facts collection,exchange information,technologies,storage,respond,protocols,processing,manipulating,instructions,instructing,hardware,give,functionality,essential,consists,3,2,1,,,,,,,,,,,
161,intelligent connection,things,process,people,internet,everything,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,network congestion 4,security 3,privacy 2,electricity consumption,peaks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,iiot incorporates system gaining knowledge,automation technology thahasve existed,massive information generation,iiot ).,sensor data,industrial settings,additionally called,industrial internet,commercial internet,system,internet,years,usage,things,technologies,production,m2m,iot,harnessing,device,communique,,,,,,,,,,,,,,
164,affected person monitoring gadget,coronary heart rate,affected person ’,industrial iot allows,smart gadget,space robotic,remedy intake,music everything,mining device,effectively perform,brakes robotically,’,allows,vehicle,street,securely,permits,people,impediment,hospitals,detects,,,,,,,,,,,,,,
165,already existing protocols like wps make,important communication era selected,iot gadgets less complicated,maximum mature wi,fi radio generation,existing network,iot applications,wireless,mixing,counted,,,,,,,,,,,,,,,,,,,,,,,,,
166,iiot incorporates system gaining knowledge,automation technology thahasve existed,massive information generation,iiot ).,sensor data,industrial settings,additionally called,industrial internet,commercial internet,system,internet,years,usage,things,technologies,production,m2m,iot,harnessing,device,communique,,,,,,,,,,,,,,
167,visibility throughout previously disparate structures,whole thing ” builds,adding community intelligence,factors ”,“ net,orchestration,lets,inspiration,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,
168,includes various smart sensor devices based,4 protocol layers,information processing layer,wireless network,optical fiber,network connectivity,fi etc,application layer,based,layer,information,wman,wlan,wired,wi,sensing,rfid,iot,gps,ethernet,,,,,,,,,,,,,,,
169,decrease complexity makeable greater appropriate,nokia originally introduced,narrow spacing utilized,decreased strength intake,low electricity latency,unique bluetooth,range coverage,good deal,cost microcontrollers,comparable bandwidth,bluetooth smart,protocol presents,low,protocol,zigbee,wibree,known,include,additionally,2006,,,,,,,,,,,,,,,
170,different systems together,show us,secure infrastructure,important role,every process,driving factor,better future,better execution,work hand,hand,word,well,things,provides,plays,network,manageable,internet,intelligent,bringing,betterment,,,,,,,,,,,,,,
171,industrial iot connects equipment,wearable fitness tools,level devices connected,automatic pet feeders,iot systems tend,smart home,slightly self,one another,made smarter,everyday consumer,systems,industries,healthcare,hand,failures,energy,disastrous,defence,businesses,aware,aerospace,,,,,,,,,,,,,,
172,new connections joining,global broadband availability,enabled devices,ipv6,ip,internet,increase,explosion,everything,driven,development,advent,,,,,,,,,,,,,,,,,,,,,,,
173,everything brings together people,– turning information,unprecedented economic opportunity,make networked connections,create new capabilities,richer experiences,valuable,things,relevant,process,internet,individuals,ever,data,countries,businesses,actions,,,,,,,,,,,,,,,,,,
174,significant impacts may also,technical challenges,privacy issues,might inhibit,iot innovations,individual consumers,including security,health care,commonly mentioned,economic growth,growth,transportation,policy,manufacturing,infrastructure,impact,however,felt,energy,cities,broadly,among,agriculture,,,,,,,,,,,,
175,still work without,control side associated,central unit within,sensor business might,active internet connection,active network,sensor businesses,main difference,sensor,internet,things,need,necessary,monitor,information,exchange,comes,,,,,,,,,,,,,,,,,,
176,450mhz arm9 processor,fantastic solution,bluegiga apx4,ble platform,actually supports,wifi,based,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,information development,transportation,security,manufacturing,healthcare,energy,agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,still work without,control side associated,central unit within,sensor business might,active internet connection,active network,sensor businesses,main difference,sensor,internet,things,need,necessary,monitor,information,exchange,comes,,,,,,,,,,,,,,,,,,
179,many shell running simultaneously,shell communicates,even though,user enters,one kernel,shell,user,kernel,whenever,system,output,keyboard,interface,execute,display,command,,,,,,,,,,,,,,,,,,,
180,advanced shell used today,commonly used,ksh,csh,bourne,bash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"hard link "".",soft link,used namely,two types,created using,shortcuts,linux,links,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,original file makes,however hard links,soft link inactive,soft links,hard link,still access,file name,broken link,different filesytem,link,file,filesytem,well,reside,inode,deleting,copy,affect,,,,,,,,,,,,,,,,,
183,unix originally began,propriety operating system,different commercial versions,open source,bell laboratories,spawned,non,masses,linux,later,intended,hand,free,,,,,,,,,,,,,,,,,,,,,,
184,level systems software whose main role,manage hardware resources,level interaction,linux kernel,also used,user,provide,low,interface,,,,,,,,,,,,,,,,,,,,,,,,,,
